num	sa	year	doc	SDG_1	SDG_2	SDG_3	SDG_4	SDG_5	SDG_6	SDG_7	SDG_8	SDG_9	SDG_10	SDG_11	SDG_12	SDG_13	SDG_14	SDG_15	SDG_16	SDG_17	Filter							doc	StatApp	year
6	sa	2017	Afghanistan_2017-sa	0.065123061	0.083507222	0.067607636	3.20E-05	0.065152191	3.26E-05	0.003021587	1.11E-06	0.028133988	0.011627844	0.012470072	0.012151657	0.033722876	2.11E-05	0.011360759	0.030136918	0.116560655	0.459336719							Jordan_2017	sa	2017
55	sa	2018	Albania_2018-sa	0.016635847	0.016427422	0.010952096	0.025402741	0.049093625	0.049774816	0.030049371	0.049780859	0.014159384	0.030353183	0.045503648	0.024307227	0.0351557	1.33E-05	0.012137593	0.060252365	0.092043755	0.437957049							Japan_2017		2017
60	sa	2018	Armenia_2018-sa	0.019154094	0.016877351	0.03498647	0.032317665	0.049416448	0.047415861	0.054464278	0.034943674	0.009255809	0.010196765	0.032274399	0.063231023	0.036920204	2.14E-04	0.03760349	0.030187245	0.056618847	0.433922056							Albania_2018		2018
121	sa	2018	Australia_2018-sa	0.006597956	0.018475749	0.015950629	0.031358989	0.043529526	0.028426183	0.02821927	0.03508325	0.020459602	0.009457135	0.040675452	0.027287472	0.065285724	0.035247236	0.026143409	0.02634423	0.074072377	0.467385811							Hungary_2018	sa	2018
38	sa	2017	Azerbaijan_2017-sa	0.018128879	0.026664818	0.064524099	0.009186523	0.044889814	0.004283715	0.011851299	0.032063636	0.029357067	0.018434643	0.011201818	0.014438097	0.053609078	0.028582872	0.016481697	0.02824111	0.107264919	0.480795918							Ethiopia_2017		2017
58	sa	2018	Bahamas_2018-sa	0.024190558	0.010768936	0.018624737	0.037992096	0.017010417	0.01404451	0.015979896	0.033960547	0.022702755	0.02123616	0.036505002	0.026426214	0.060206027	0.03251367	0.040449459	0.027457534	0.084467979	0.475463503							MEXICO_2018		2018
61	sa	2018	Bahrain_2018-sa	0.001256578	0.010312964	0.027080251	0.031548089	0.036531841	0.029970813	0.018396059	0.040175326	0.014307469	0.008842833	0.051670805	0.028808173	0.059531593	0.023486946	0.034057686	0.039966975	0.078685717	0.465369883							Afghanistan_2017	sa	2017
70	sa	2017	Bangladesh_2017-sa	0.048865243	0.068176146	0.069995843	0.006041766	0.060098306	0.00531921	1.35E-06	0.017159445	0.043779361	0.004058807	0.013917013	9.10E-04	0.030563427	0.081276395	4.29E-07	4.30E-07	0.168461077	0.381375685							Kiribati_2018	sa	2018
87	sa	2017	Belgium_2017-sa	0.016919953	0.025332037	0.022011568	0.039260926	0.041176647	0.028674073	0.029262817	0.036843925	0.025388845	0.013216192	0.03587273	0.042085594	0.067252703	0.031395131	0.036296218	0.027439143	0.084114095	0.397457401							Czech_Republic_2017	sa	2017
108	sa	2017	Belize_2017-sa	0.053647672	8.76E-07	0.134784998	0.016653814	0.134356731	0.017572877	1.93E-04	0.001663748	0.005287731	0.005256119	0.014880056	0.0208159	0.048170173	0.06621324	0.010622078	0.006031694	0.049133837	0.414715754							Kiribati_2018_with_statistical_annex		nnex
90	sa	2018	Bhutan_2018-sa	0.020787524	0.02331971	0.030179701	0.049117163	0.033087193	0.04485534	0.01931328	0.017193544	0.021272202	0.00523475	0.039309382	0.029446295	0.064167231	0.003991884	0.050757893	0.017591472	0.072802451	0.457572984							Netherlands_2017		2017
103	sa	2017	Brazil_2017-sa	0.030298496	0.025523471	0.027120541	0.014963893	0.036825635	0.007725707	0.00774181	0.012867832	0.023169522	0.013205605	0.042291304	0.018880826	0.059319043	0.036535424	0.015720735	0.016800973	0.165293049	0.445716136							Latvia_2018		2018
32	sa	2018	Cabo_Verde_2018-sa	0.033591407	0.016209549	0.014732122	0.045013681	0.022560085	0.037851435	0.016676312	0.029010826	0.010864179	0.015330876	0.03777741	0.029709431	0.054526587	0.022486862	0.028291545	0.017880392	0.088308782	0.47917852							Switzerland_2018	sa	2018
116	sa	2018	Canada_2018-sa	0.011222973	0.026538344	0.011732525	0.061160812	0.073367012	0.01026713	0.024894844	0.036862093	0.017683974	0.019021233	0.025104813	0.017591258	0.077789276	0.026007011	0.041173194	0.025707467	0.055287409	0.438588631							Czech_Republic_2017		2017
120	sa	2017	Cyprus_2017-sa	0.00677827	0.009794715	0.009547728	0.058327923	0.030719057	0.018217135	0.040452333	0.053133906	0.022668378	0.006492841	0.031621821	0.040136247	0.05971337	0.029160862	0.073136607	0.041020463	0.057158918	0.411919426							Sweden_2017	sa	2017
8	sa	2017	Czech_Republic_2017-sa	0.011391079	1.12E-06	0.002177919	0.010351929	0.033022332	0.022878483	0.023102123	0.016594136	4.18E-05	0.008459814	0.050976598	0.030887339	0.063341662	1.12E-06	0.058296572	0.039203646	0.133387293	0.495885039							Slovakia_2018		2018
73	sa	2017	Denmark_2017-sa	0.004404169	0.014425062	0.012870325	0.033703437	0.049449907	0.031217156	0.026130956	0.050171537	0.030254608	0.016243189	0.030495019	0.055302407	0.03441011	0.010435746	0.009804667	0.02818858	0.120040524	0.442452602							Maldives_2017		2017
18	sa	2018	Egypt_2018-sa	0.023524188	0.010054461	0.018140042	0.032435425	0.023585308	0.033242483	0.046888519	0.045934803	0.012348	0.014149351	0.048405827	0.027596387	0.041767335	0.032769949	0.021595477	0.01413885	0.079750898	0.473672698							Bhutan_2018		2018
82	sa	2017	Ethiopia_2017-sa	0.021311384	0.045286409	0.039961442	0.022755665	0.038707487	0.02987002	0.008121248	0.033015228	0.043697566	4.24E-04	0.023976773	0.025334074	0.058357383	0.011777029	0.015034552	0.011066442	0.112568646	0.458735032							Egypt_2018	sa	2018
44	sa	2018	Greece_2018-sa	0.007570778	0.003851854	0.003534372	0.03962681	0.024780913	0.010496596	0.019745227	0.055162773	0.024835824	0.016642281	0.03301369	0.042344693	0.069820438	0.039136303	0.029079686	0.034947354	0.095722424	0.449687985							Ireland_2018	sa	2018
3	sa	2018	Hungary_2018-sa	0.005723464	0.013594326	0.008422278	0.040130051	0.017997417	0.040109871	0.022291421	0.050406187	0.012770033	0.011629782	0.023623208	0.049416673	0.073404391	0.021404491	0.05454789	0.032587383	0.076295457	0.445645676							Denmark_2017		2017
101	sa	2017	India_2017-sa	0.025842596	0.043403662	0.028078396	0.014030879	0.0424822	0.025653723	0.021196844	0.019032992	0.031010968	0.008425863	0.009855012	1.04E-06	0.066574042	0.036915835	0.026873805	9.98E-04	0.141529692	0.458094734							Canada_2018		2018
34	sa	2017	Indonesia_2017-sa	0.03173249	0.046517967	0.067814415	0.013549593	0.080039221	0.013227632	0.009083513	0.005221051	0.035582116	0.009819575	0.014907606	0.022505143	0.030805569	0.043168143	0.004265299	0.01407303	0.10754576	0.450141877							Qatar_2018		2018
19	sa	2018	Ireland_2018-sa	0.014042685	0.021739467	0.017967846	0.035185301	0.044985021	0.022108716	0.025874356	0.040884474	0.013593378	0.011484626	0.030672497	0.036974188	0.071028281	0.031115153	0.036648345	0.028121082	0.074393937	0.443180647							Zimbabwe_2017		2017
122	sa	2017	Italy_2017-sa	0.016757134	0.068760528	0.015855103	0.045434238	0.05115182	0.034365493	0.007505825	0.071360786	0.034045535	0.015950378	0.056518966	0.057467986	0.026334709	0.039364833	0.0644381	0.018143471	0.028718264	0.347826831							Bahamas_2018		2018
30	sa	2018	Jamaica_2018-sa	0.017540991	0.015790536	0.025428396	0.054370024	0.017703633	0.018824191	0.030850746	0.030211127	0.020823232	0.009512895	0.041987482	0.028369876	0.07349169	0.020155091	0.028009368	0.024130298	0.11308936	0.429711064							Singapore_2018		2018
47	sa	2017	Japan_2017-sa	0.008077994	0.012291443	0.015985967	0.017261663	0.028231805	0.026846539	0.008066403	0.020733655	0.012047399	0.012957041	0.036595781	0.045680789	0.095621938	0.023927797	0.032003359	0.020178429	0.123574479	0.45991752							Sri_Lanka_2018	sa	2018
0	sa	2017	Jordan_2017-sa	0.02009962	0.013504074	0.019940158	0.037701414	0.033637522	0.028140304	0.023408015	0.062676562	0.011630627	0.007141693	0.019367711	0.021557452	0.07266503	6.73E-07	1.95E-04	0.037603388	0.110083807	0.480646635							Switzerland_2018		2018
